"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","urban_area","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"280","Norwich--New London, CT--RI Urbanized Area (2010)",204430,98307,3925,12531,16448,16822,17225,7426,10163,1084,2690,3002,4423,2568,"64135",49154,"15_to_19_min",7,7,3
"303","Port Arthur, TX Urbanized Area (2010)",156342,60570,2769,9264,10692,10527,10306,2886,7327,518,695,1434,3267,885,"70993",30286,"15_to_19_min",7,7,1
"319","Reading, PA Urbanized Area (2010)",273538,120367,1608,12276,20718,26076,17341,9312,9483,2431,3926,8382,5585,3229,"73693",60184,"15_to_19_min",7,7,3
"327","Rockford, IL Urbanized Area (2010)",284585,122781,3438,14726,23611,26375,19414,6679,9852,2031,2941,5669,4655,3390,"75718",61391,"15_to_19_min",7,7,3
"333","St. Augustine, FL Urbanized Area (2010)",81963,35025,1388,2416,7593,6473,5274,1566,3831,281,818,2844,1812,729,"77230",17513,"15_to_19_min",7,7,2
"355","Santa Rosa, CA Urbanized Area (2010)",321359,149777,5486,18278,25608,28416,23732,9289,14922,2346,3818,6741,6635,4506,"79498",74889,"15_to_19_min",7,7,3
"426","Williamsburg, VA Urbanized Area (2010)",81773,35201,778,5555,6965,5656,4039,1049,2656,1568,1464,3076,1096,1299,"95411",17601,"15_to_19_min",7,7,4
"289","Owensboro, KY Urbanized Area (2010)",73207,30439,1213,6965,7469,6171,2360,138,1264,284,1165,1205,1830,375,"66484",15220,"10_to_14_min",6,7,1
"191","Kailua (Honolulu County)--Kaneohe, HI Urbanized Area (2010)",116849,58783,1369,5365,6737,5033,6445,4131,12958,2541,3595,6804,3104,701,"43669",29392,"30_to_34_min",10,6,1
"19","Anniston--Oxford, AL Urbanized Area (2010)",77916,29745,971,2228,6368,4406,5227,1612,3889,1028,580,1655,1093,688,"02629",14873,"20_to_24_min",8,6,2
"69","Charlotte, NC--SC Urbanized Area (2010)",1440707,672191,8096,51433,75525,104138,109993,55996,116162,27336,28637,56760,26278,11837,"15670",336096,"20_to_24_min",8,6,2
"87","Concord, NC Urbanized Area (2010)",230050,100010,1927,11956,13467,15849,14086,5140,16022,3879,3802,7839,5028,1015,"19558",50006,"20_to_24_min",8,6,1
"105","Detroit, MI Urbanized Area (2010)",3725215,1631324,23685,120586,200761,257331,253837,125051,256689,64324,84975,145009,75384,23692,"23824",815662,"20_to_24_min",8,6,1
"108","Dover--Rochester, NH--ME Urbanized Area (2010)",92379,48244,1106,5544,9036,6685,7343,4884,4936,1419,2360,2264,1290,1377,"24607",24122,"20_to_24_min",8,6,3
"111","Durham, NC Urbanized Area (2010)",386855,186844,3937,15281,30339,35794,34444,13026,24877,4220,6263,8194,7318,3151,"25228",93422,"20_to_24_min",8,6,2
"142","Gastonia, NC--SC Urbanized Area (2010)",176831,76810,912,8229,8798,12196,11189,6250,13073,2686,3256,5923,3121,1177,"32653",38406,"20_to_24_min",8,6,2
"182","Jacksonville, FL Urbanized Area (2010)",1151103,526104,7614,39630,50680,83120,100953,42978,89411,20194,24248,35598,20492,11186,"42346",263052,"20_to_24_min",8,6,2
"209","Lancaster, PA Urbanized Area (2010)",419373,198290,5971,24182,31136,31926,31228,15915,23425,7159,5006,10651,7080,4611,"47530",99146,"20_to_24_min",8,6,2
"281","Ocala, FL Urbanized Area (2010)",161174,57996,1396,7023,7258,12094,11809,5507,4103,1322,1247,2980,1612,1645,"64567",28998,"20_to_24_min",8,6,3
"290","Oxnard, CA Urbanized Area (2010)",381540,171538,3398,12657,24967,23979,27271,29143,25240,2246,4008,8653,6340,3636,"66673",85770,"20_to_24_min",8,6,2
"343","San Antonio, TX Urbanized Area (2010)",1979043,878069,12238,66127,107350,147046,158824,69632,145533,29967,30387,61755,31474,17736,"78580",439035,"20_to_24_min",8,6,2
"356","Sarasota--Bradenton, FL Urbanized Area (2010)",711272,262277,3616,24266,40377,43029,52691,15893,40431,7142,7580,12527,9754,4971,"79606",131139,"20_to_24_min",8,6,2
"433","Yauco, PR Urbanized Area (2010)",78110,17706,217,1398,4482,2581,1755,886,3466,364,704,873,116,864,"97561",8854,"20_to_24_min",8,6,5
"9","Alexandria, LA Urbanized Area (2010)",80978,31810,1078,5346,7188,7429,4084,802,2346,711,0,765,862,1199,"01279",15906,"15_to_19_min",7,6,4
"11","Alton, IL--MO Urbanized Area (2010)",82985,35520,1909,4156,6387,5526,4542,1945,2824,1148,2106,2777,1721,479,"01765",17760,"15_to_19_min",7,6,1
"24","Athens-Clarke County, GA Urbanized Area (2010)",136116,61291,1660,8987,13492,14075,7797,2512,3785,1316,930,3306,2136,1295,"03763",30646,"15_to_19_min",7,6,2
"36","Bay City, MI Urbanized Area (2010)",69712,27239,1624,4430,4261,4392,3427,2430,3465,690,217,639,1031,633,"05869",13620,"15_to_19_min",7,6,2
"38","Bellingham, WA Urbanized Area (2010)",122026,59048,980,9270,12212,13219,7778,3584,5607,1311,767,1071,1312,1937,"06652",29524,"15_to_19_min",7,6,3
"55","Bristol--Bristol, TN--VA Urbanized Area (2010)",68138,25942,1050,3153,4159,5981,3225,1522,2713,646,713,1256,363,1161,"10351",12972,"15_to_19_min",7,6,4
"61","Canton, OH Urbanized Area (2010)",277134,123353,3669,14029,25351,23521,17670,8706,11259,3493,3692,4951,4603,2409,"13375",61677,"15_to_19_min",7,6,2
"133","Fort Collins, CO Urbanized Area (2010)",300448,144381,6334,18110,26404,24781,22450,11154,14144,2340,4364,6255,5219,2826,"30628",72191,"15_to_19_min",7,6,2
"190","Kahului, HI Urbanized Area (2010)",65687,30244,447,5966,5987,4718,2799,1045,3861,604,970,2173,1427,247,"43615",15122,"15_to_19_min",7,6,1
"195","Kennewick--Pasco, WA Urbanized Area (2010)",232954,97769,2675,10981,13671,25285,18793,5605,6333,886,2264,5721,4033,1522,"44479",48885,"15_to_19_min",7,6,2
"204","Lafayette, LA Urbanized Area (2010)",262653,119329,4554,14483,26189,20507,18817,6727,11796,2185,2761,4196,3032,4082,"46045",59665,"15_to_19_min",7,6,3
"217","Lebanon, PA Urbanized Area (2010)",80927,35201,2044,5343,6966,4090,4751,1649,3217,929,768,3448,1473,523,"48664",17601,"15_to_19_min",7,6,1
"243","Mansfield, OH Urbanized Area (2010)",73819,29008,422,5052,7797,6737,2809,1306,1876,202,230,935,1005,637,"54091",14504,"15_to_19_min",7,6,2
"264","Muncie, IN Urbanized Area (2010)",88283,36294,1774,5682,8354,7387,3563,1071,3080,1186,617,1406,1789,385,"60625",18148,"15_to_19_min",7,6,1
"270","Napa, CA Urbanized Area (2010)",88611,41328,1210,6071,8502,6915,4678,1993,5557,946,1064,1858,1681,853,"61057",20664,"15_to_19_min",7,6,2
"285","Olympia--Lacey, WA Urbanized Area (2010)",188340,79986,1772,8937,14143,16157,12497,5159,8906,2089,2252,3426,3576,1072,"65242",39994,"15_to_19_min",7,6,1
"306","Portland, ME Urbanized Area (2010)",213538,109790,3975,11563,17508,22901,17446,7834,13029,1766,2887,4737,3156,2988,"71263",54896,"15_to_19_min",7,6,3
"338","Salem, OR Urbanized Area (2010)",252890,107087,2101,8843,20467,25184,17790,4989,10338,1797,1546,7164,3827,3041,"78229",53544,"15_to_19_min",7,6,3
"362","Sebastian--Vero Beach South--Florida Ridge, FL Urbanized Area (2010)",160489,52464,1928,6083,9254,12373,9081,2288,4146,1579,1262,1363,1095,2012,"80400",26232,"15_to_19_min",7,6,4
"382","Sumter, SC Urbanized Area (2010)",72852,29384,1037,3700,7316,6784,3490,871,1373,292,1047,1760,1468,246,"85708",14692,"15_to_19_min",7,6,1
"301","Pocatello, ID Urbanized Area (2010)",70230,28798,2077,7231,9250,5230,1099,787,576,511,249,182,1178,428,"70426",14400,"10_to_14_min",6,6,1
"8","Albuquerque, NM Urbanized Area (2010)",766219,340135,6561,31957,46339,68686,67080,23677,44981,5883,10732,18049,11254,4936,"01171",170068,"20_to_24_min",8,5,1
"18","Ann Arbor, MI Urbanized Area (2010)",323077,153268,2491,12196,24453,30666,27058,11964,17082,2871,6201,11360,5220,1706,"02602",76634,"20_to_24_min",8,5,1
"28","Augusta-Richmond County, GA--SC Urbanized Area (2010)",415157,175505,4620,13315,31256,35743,29435,10695,24117,3681,4644,9396,6615,1988,"04222",87753,"20_to_24_min",8,5,1
"68","Charleston--North Charleston, SC Urbanized Area (2010)",620291,291684,4934,23282,35643,46855,51270,22518,49965,11850,11062,20382,9901,4022,"15508",145842,"20_to_24_min",8,5,1
"77","Cleveland, OH Urbanized Area (2010)",1754347,798006,20835,67831,97369,125175,134642,68616,119869,33669,34737,58009,27080,10174,"17668",399004,"20_to_24_min",8,5,1
"83","Columbia, SC Urbanized Area (2010)",597067,279498,17533,22320,37946,52892,46281,16467,40639,10369,7470,14931,7831,4819,"18964",139750,"20_to_24_min",8,5,2
"94","Daphne--Fairhope, AL Urbanized Area (2010)",70876,27924,476,1996,4045,5709,2456,2134,5329,667,1500,2146,1230,236,"22285",13962,"20_to_24_min",8,5,1
"97","Dayton, OH Urbanized Area (2010)",727627,320452,9910,35387,56536,58142,57692,27420,32697,7608,8184,12160,10338,4378,"22528",160226,"20_to_24_min",8,5,1
"163","Hartford, CT Urbanized Area (2010)",924956,430437,13006,38880,69933,69043,75606,32909,59970,12979,16056,20688,13867,7500,"37243",215219,"20_to_24_min",8,5,2
"176","Indianapolis, IN Urbanized Area (2010)",1598234,755102,14712,67775,94865,114629,139165,66411,117040,30118,28564,47724,22236,11863,"41212",377552,"20_to_24_min",8,5,2
"283","Ogden--Layton, UT Urbanized Area (2010)",600468,270187,7017,31177,43446,52366,40364,19342,27603,8313,9328,16658,11148,3425,"64945",135094,"20_to_24_min",8,5,1
"291","Palm Bay--Melbourne, FL Urbanized Area (2010)",484824,189221,3998,15179,27174,34247,32818,13138,27672,4763,9178,10964,7351,2739,"67105",94611,"20_to_24_min",8,5,1
"295","Pensacola, FL--AL Urbanized Area (2010)",360619,146642,2915,14259,20364,31263,26922,13166,16063,2071,4540,7950,4184,2945,"68482",73322,"20_to_24_min",8,5,2
"302","Ponce, PR Urbanized Area (2010)",131749,34933,366,1183,6024,9680,6011,3102,4180,791,577,1252,1120,647,"70642",17467,"20_to_24_min",8,5,2
"317","Raleigh, NC Urbanized Area (2010)",1021681,491369,7768,39154,61006,80534,79044,41057,81072,16504,21421,39440,17669,6700,"73261",245685,"20_to_24_min",8,5,1
"322","Richmond, VA Urbanized Area (2010)",1020577,486116,8035,35881,65874,90305,97414,42778,75152,14342,13280,20163,12124,10768,"74746",243058,"20_to_24_min",8,5,2
"328","Rock Hill, SC Urbanized Area (2010)",110435,51436,785,3514,8631,9888,6404,3315,7141,1839,1986,5529,1768,636,"75745",25718,"20_to_24_min",8,5,1
"337","St. Louis, MO--IL Urbanized Area (2010)",2160582,1012249,16768,82189,127991,164668,178906,82952,160438,37254,41638,70800,32174,16471,"77770",506125,"20_to_24_min",8,5,2
"339","Salinas, CA Urbanized Area (2010)",190450,83315,646,3364,8383,22023,20103,7320,8798,1472,2679,4435,2292,1800,"78310",41658,"20_to_24_min",8,5,2
"357","Saratoga Springs, NY Urbanized Area (2010)",67661,32402,700,2386,4986,4237,5290,1229,4856,1076,2005,4143,994,500,"79633",16202,"20_to_24_min",8,5,2
"376","Springfield, MA--CT Urbanized Area (2010)",626676,279331,8337,29322,44356,48458,49242,21927,35863,6426,8412,14269,8229,4490,"83926",139666,"20_to_24_min",8,5,2
"409","Virginia Beach, VA Urbanized Area (2010)",1473064,726443,24554,69084,100198,130857,123321,52425,107289,20093,23274,41206,24297,9845,"90892",363222,"20_to_24_min",8,5,1
"3","Abilene, TX Urbanized Area (2010)",117690,50590,2484,7684,14323,14963,4083,680,2750,272,771,297,833,1450,"00280",25296,"15_to_19_min",7,5,3
"5","Akron, OH Urbanized Area (2010)",579127,260804,6181,29744,43216,51620,38393,20805,24705,9525,8578,15279,9946,2812,"00766",130402,"15_to_19_min",7,5,1
"13","Amarillo, TX Urbanized Area (2010)",203317,92185,3109,10314,20865,26966,15493,2338,4514,820,1311,2225,2835,1395,"01927",46093,"15_to_19_min",7,5,2
"46","Bloomington, IN Urbanized Area (2010)",113392,52930,1504,11141,13410,14131,5254,767,2509,308,871,485,1841,709,"08380",26466,"15_to_19_min",7,5,1
"52","Bowling Green, KY Urbanized Area (2010)",88041,40351,1671,5273,9744,9733,5019,1285,3431,262,970,1003,1329,631,"09379",20176,"15_to_19_min",7,5,2
"58","Burlington, NC Urbanized Area (2010)",124840,55758,1928,6314,9924,12253,6842,1643,5640,2098,2690,3821,1898,707,"11728",27880,"15_to_19_min",7,5,1
"96","Davis, CA Urbanized Area (2010)",77174,30495,427,3955,7388,5872,3847,1477,3631,627,728,880,811,852,"22420",15248,"15_to_19_min",7,5,3
"116","Elmira, NY Urbanized Area (2010)",68259,29364,1002,5600,7817,3968,3482,1859,2389,245,663,971,689,679,"27118",14682,"15_to_19_min",7,5,2
"120","Eugene, OR Urbanized Area (2010)",262036,116846,3921,16322,28312,28583,18124,4947,8088,751,706,1184,3803,2105,"28117",58424,"15_to_19_min",7,5,2
"131","Florence, SC Urbanized Area (2010)",88576,38855,1281,4567,7328,9607,5435,1792,3872,560,531,1884,1753,245,"30061",19428,"15_to_19_min",7,5,1
"152","Greenville, NC Urbanized Area (2010)",125564,54219,932,8262,15998,10789,6644,2205,2873,718,1475,1837,2193,293,"35380",27110,"15_to_19_min",7,5,1
"155","Gulfport, MS Urbanized Area (2010)",228121,101543,4212,10654,18436,17522,17206,7413,13956,1682,1185,4517,2830,1930,"35920",50772,"15_to_19_min",7,5,2
"166","Hickory, NC Urbanized Area (2010)",213562,86744,2510,11586,15909,17388,12532,5859,9685,2790,944,3635,2651,1255,"38647",43372,"15_to_19_min",7,5,1
"179","Jackson, MI Urbanized Area (2010)",89300,34103,1732,4610,8157,6755,3839,1123,1927,684,1390,2107,1244,535,"42157",17052,"15_to_19_min",7,5,2
"197","Killeen, TX Urbanized Area (2010)",233580,103894,6128,15123,18076,24447,15698,5613,7223,994,1254,3984,4314,1040,"44992",51948,"15_to_19_min",7,5,1
"206","Lake Charles, LA Urbanized Area (2010)",148836,62234,1440,8797,13228,16543,9225,2882,5065,301,102,1748,1290,1613,"46531",31118,"15_to_19_min",7,5,3
"208","Lakeland, FL Urbanized Area (2010)",299918,126084,2027,8058,24580,30706,21019,6098,14885,2206,3381,6557,4721,1846,"46828",63042,"15_to_19_min",7,5,1
"229","Longview, TX Urbanized Area (2010)",101442,41855,1710,7025,6878,9198,5232,1998,3789,462,1469,1835,1017,1242,"51256",20928,"15_to_19_min",7,5,3
"312","Prescott Valley--Prescott, AZ Urbanized Area (2010)",94428,31638,1184,5167,5277,5410,4523,3434,3554,140,439,1043,524,943,"72112",15820,"15_to_19_min",7,5,3
"334","St. Cloud, MN Urbanized Area (2010)",114574,57542,1869,9402,15019,14816,6919,2361,2127,480,724,1029,1565,1231,"77338",28772,"15_to_19_min",7,5,2
"340","Salisbury, MD--DE Urbanized Area (2010)",104517,45877,993,8053,9629,8072,4529,1483,6022,895,1167,2636,1793,605,"78364",22939,"15_to_19_min",7,5,1
"353","Santa Fe, NM Urbanized Area (2010)",93663,44016,1059,5892,8175,10099,7392,1495,4348,799,464,1952,1993,348,"79363",22008,"15_to_19_min",7,5,1
"354","Santa Maria, CA Urbanized Area (2010)",144103,66486,1457,9069,13833,10144,12003,3137,8193,873,2333,1832,2683,929,"79417",33244,"15_to_19_min",7,5,1
"359","Scranton, PA Urbanized Area (2010)",371831,161897,6874,23089,31128,30137,24039,9179,14431,3234,4919,6249,5242,3376,"80227",80949,"15_to_19_min",7,5,2
"365","Sherman, TX Urbanized Area (2010)",69151,30234,1359,5975,6608,6892,4076,442,1484,290,157,1419,882,650,"81631",15118,"15_to_19_min",7,5,2
"378","Springfield, OH Urbanized Area (2010)",83729,36740,1627,6188,7335,7002,3167,988,3048,2208,751,2448,1691,287,"83980",18370,"15_to_19_min",7,5,1
"386","Temple, TX Urbanized Area (2010)",94443,40418,1918,5341,10362,9273,3562,1222,4395,746,316,1355,1646,282,"87058",20210,"15_to_19_min",7,5,1
"387","Terre Haute, IN Urbanized Area (2010)",93884,39941,1546,6169,10093,6518,5953,1379,2823,1350,1053,1007,1245,805,"87139",19971,"15_to_19_min",7,5,2
"410","Visalia, CA Urbanized Area (2010)",226708,85953,1617,11917,20278,13954,14780,4120,7895,1671,1894,3755,2456,1616,"90946",42977,"15_to_19_min",7,5,2
"423","Wheeling, WV--OH Urbanized Area (2010)",81108,35004,1834,5319,6573,6522,4344,2011,2892,425,617,2766,1166,535,"94726",17502,"15_to_19_min",7,5,2
"435","Youngstown, OH--PA Urbanized Area (2010)",370731,151036,6004,19870,25748,32297,24572,11321,12345,2241,3306,5590,5128,2614,"97831",75518,"15_to_19_min",7,5,2
"363","Sebring--Avon Park, FL Urbanized Area (2010)",69970,19372,1590,4882,3507,2695,2420,253,1900,661,0,435,848,181,"80416",9686,"10_to_14_min",6,5,1
"364","Sheboygan, WI Urbanized Area (2010)",69529,33757,728,8056,8830,7962,3452,847,711,244,369,734,1424,400,"81118",16879,"10_to_14_min",6,5,1
"406","Victoria, TX Urbanized Area (2010)",66694,32005,822,7863,8997,5049,2449,235,2208,112,864,1964,905,537,"90514",16003,"10_to_14_min",6,5,2
"219","Lee's Summit, MO Urbanized Area (2010)",89812,42683,554,3584,5828,5939,4652,2332,8604,1576,2965,5115,1117,417,"48826",21342,"25_to_29_min",9,4,1
"43","Birmingham, AL Urbanized Area (2010)",756708,346408,4779,30289,45859,59178,57218,33536,56178,11363,11169,22697,10075,4067,"07786",173204,"20_to_24_min",8,4,1
"75","Cincinnati, OH--KY--IN Urbanized Area (2010)",1675232,783441,16218,70348,107389,129564,144160,65789,113260,25738,31531,48213,19439,11792,"16885",391721,"20_to_24_min",8,4,2
"81","Colorado Springs, CO Urbanized Area (2010)",612562,281269,7926,29951,42203,53594,54119,23408,33491,6171,6978,11345,7373,4710,"18856",140635,"20_to_24_min",8,4,2
"117","El Paso, TX--NM Urbanized Area (2010)",816924,334205,7509,30229,46063,62112,62340,26045,48284,8273,11411,17311,8019,6609,"27253",167103,"20_to_24_min",8,4,2
"126","Fayetteville, NC Urbanized Area (2010)",329517,139018,5122,14932,21414,25122,26444,8582,19116,3568,2443,6360,3467,2448,"29440",69510,"20_to_24_min",8,4,2
"135","Fort Walton Beach--Navarre--Wright, FL Urbanized Area (2010)",206147,96086,3333,12410,14660,14106,13572,5555,13173,4523,3528,7624,2702,900,"31060",48044,"20_to_24_min",8,4,1
"167","High Point, NC Urbanized Area (2010)",181326,74304,1937,8806,11273,13381,11227,6602,11493,2831,1273,2140,1442,1899,"38809",37152,"20_to_24_min",8,4,3
"168","Hilton Head Island, SC Urbanized Area (2010)",70605,34390,484,4233,5702,5397,5206,1808,7146,306,1289,1525,914,380,"39079",17196,"20_to_24_min",8,4,1
"200","Knoxville, TN Urbanized Area (2010)",593182,268472,5466,23827,42650,52453,49119,21759,39306,6123,6100,11849,5848,3972,"45640",134236,"20_to_24_min",8,4,1
"205","Lafayette--Louisville--Erie, CO Urbanized Area (2010)",97511,42240,1365,3675,4462,6200,8054,4343,6479,1399,1557,2828,1496,382,"46126",21120,"20_to_24_min",8,4,1
"214","Las Vegas--Henderson, NV Urbanized Area (2010)",2090708,934091,10095,50559,114428,159226,184028,89777,177239,27557,32026,48348,24760,16048,"47995",467046,"20_to_24_min",8,4,2
"231","Lorain--Elyria, OH Urbanized Area (2010)",181611,77105,2372,9236,10650,11049,11507,7568,8627,3499,2705,6513,2622,757,"51364",38553,"20_to_24_min",8,4,1
"246","Mauldin--Simpsonville, SC Urbanized Area (2010)",143181,68179,947,5114,10507,15364,13250,6032,8077,1690,2138,2404,878,1778,"55603",34090,"20_to_24_min",8,4,3
"247","Mayaguez, PR Urbanized Area (2010)",99192,22907,374,1594,3369,5382,3155,2236,3200,290,859,1603,658,187,"55738",11454,"20_to_24_min",8,4,1
"252","Middletown, OH Urbanized Area (2010)",97502,40982,1220,4182,4975,5180,7498,2924,5905,2979,1681,2769,1469,200,"56926",20492,"20_to_24_min",8,4,0
"254","Milwaukee, WI Urbanized Area (2010)",1383907,654730,14823,63416,95898,121073,122603,51361,92878,19126,18320,31442,15733,8057,"57466",327366,"20_to_24_min",8,4,1
"255","Minneapolis--St. Paul, MN--WI Urbanized Area (2010)",2811122,1422448,25358,122321,177285,234978,252000,126262,215738,51679,61791,92777,44351,17908,"57628",711224,"20_to_24_min",8,4,1
"258","Mobile, AL Urbanized Area (2010)",326444,134329,3222,8895,18579,25792,24937,9358,23877,1734,2998,9358,3591,1988,"57925",67165,"20_to_24_min",8,4,1
"269","Nampa, ID Urbanized Area (2010)",166214,66927,3612,8928,8665,7516,12326,3887,9570,3310,3635,3108,1104,1266,"60976",33464,"20_to_24_min",8,4,2
"316","Racine, WI Urbanized Area (2010)",133138,56589,1805,7115,9580,8132,8872,4029,5606,1363,3077,4483,1547,980,"73153",28295,"20_to_24_min",8,4,2
"324","Roanoke, VA Urbanized Area (2010)",216746,97500,1055,7807,11944,17975,15420,4323,30199,729,1137,2837,2777,1297,"75421",48750,"20_to_24_min",8,4,1
"341","Salt Lake City--West Valley City, UT Urbanized Area (2010)",1102282,533591,10260,45854,77248,103729,101983,45958,75165,11014,15873,27633,13371,5503,"78499",266796,"20_to_24_min",8,4,1
"358","Savannah, GA Urbanized Area (2010)",284298,129321,4877,12546,19750,24062,21961,9310,19872,2285,2233,7366,3183,1876,"79768",64661,"20_to_24_min",8,4,1
"395","Tucson, AZ Urbanized Area (2010)",869249,358407,6660,36152,47961,61281,65092,27987,54231,10872,11086,22800,9285,5000,"88732",179204,"20_to_24_min",8,4,1
"421","West Bend, WI Urbanized Area (2010)",73085,36055,1390,6400,5347,3081,4306,2640,3892,1783,2145,3513,1006,552,"93916",18028,"20_to_24_min",8,4,2
"31","Bakersfield, CA Urbanized Area (2010)",561917,216162,3683,18210,40370,47465,42154,15157,22587,3002,5882,8938,4299,4415,"04681",108082,"15_to_19_min",7,4,2
"35","Battle Creek, MI Urbanized Area (2010)",78093,33305,1117,3776,10316,6947,5248,1586,1330,290,734,490,1152,319,"05707",16653,"15_to_19_min",7,4,1
"39","Beloit, WI--IL Urbanized Area (2010)",65104,27930,918,4750,5736,4420,3120,1927,2823,1220,437,1586,354,639,"06760",13966,"15_to_19_min",7,4,2
"44","Bismarck, ND Urbanized Area (2010)",88868,47587,1804,5851,11702,16699,5146,941,2314,246,156,900,936,892,"07921",23794,"15_to_19_min",7,4,2
"45","Blacksburg, VA Urbanized Area (2010)",91752,45022,518,9673,11076,8898,5604,1639,2797,571,741,1586,1597,322,"08002",22512,"15_to_19_min",7,4,1
"51","Boulder, CO Urbanized Area (2010)",124622,58557,1960,9494,11857,13167,7787,2472,4868,769,1652,2445,1545,541,"09298",29279,"15_to_19_min",7,4,1
"59","Burlington, VT Urbanized Area (2010)",112195,58177,1303,8187,11935,12451,10494,3086,4728,1022,847,1957,1669,498,"11755",29089,"15_to_19_min",7,4,1
"84","Columbus, GA--AL Urbanized Area (2010)",262516,105439,2147,8718,23217,22534,21694,5315,9285,2137,2437,3904,2033,2018,"19099",52720,"15_to_19_min",7,4,2
"98","Decatur, AL Urbanized Area (2010)",67836,28503,1541,4373,7129,4000,3046,609,3542,650,1047,1447,464,655,"22690",14252,"15_to_19_min",7,4,2
"112","Eau Claire, WI Urbanized Area (2010)",107337,52525,2302,8599,13933,11253,6673,2433,3541,207,493,1151,1232,708,"26038",26263,"15_to_19_min",7,4,1
"113","El Centro--Calexico, CA Urbanized Area (2010)",113506,37431,308,5206,9138,7464,6614,1897,3273,223,592,1115,898,703,"26416",18716,"15_to_19_min",7,4,2
"121","Evansville, IN--KY Urbanized Area (2010)",230451,108236,4439,14923,19362,22379,16662,7858,10555,1763,2688,3713,2008,1886,"28333",54118,"15_to_19_min",7,4,2
"136","Fort Wayne, IN Urbanized Area (2010)",326227,146941,2609,14294,28610,30694,29934,12343,12869,3347,2100,4697,2823,2621,"31087",73471,"15_to_19_min",7,4,2
"139","Fresno, CA Urbanized Area (2010)",693179,268660,5398,24184,45810,63533,56002,19149,27104,2096,3141,10316,6749,5178,"31843",134330,"15_to_19_min",7,4,2
"140","Gainesville, FL Urbanized Area (2010)",197807,83105,2083,8638,12426,22111,15649,5056,8536,984,1350,3143,1217,1912,"32167",41553,"15_to_19_min",7,4,2
"146","Grand Junction, CO Urbanized Area (2010)",132281,55279,1438,9955,14924,11662,9274,1515,2555,235,360,986,1765,610,"34273",27640,"15_to_19_min",7,4,1
"158","Hanford, CA Urbanized Area (2010)",90396,39317,1590,7211,8096,6271,3666,1767,5064,100,2179,1869,1121,383,"36703",19659,"15_to_19_min",7,4,1
"161","Harrisburg, PA Urbanized Area (2010)",466630,218835,4575,23770,37454,47220,36515,17001,26530,4965,4870,7324,4678,3933,"37081",109418,"15_to_19_min",7,4,2
"173","Huntington, WV--KY--OH Urbanized Area (2010)",203162,77886,3976,10746,13852,12544,12550,5220,8148,1988,1850,3802,2225,985,"40753",38944,"15_to_19_min",7,4,1
