"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","urban_area","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"177","Indio--Cathedral City, CA Urbanized Area (2010)",366014,135517,2503,18447,29468,28175,23753,7788,13094,1458,2080,2922,1630,4199,"41347",67759,"15_to_19_min",7,4,3
"211","Lansing, MI Urbanized Area (2010)",321812,146274,4258,19594,32715,34148,26147,8788,8006,1234,1296,4287,3561,2240,"47719",73138,"15_to_19_min",7,4,2
"221","Lexington-Fayette, KY Urbanized Area (2010)",313293,153874,4268,14659,25929,34602,30108,10218,17559,2184,3247,4620,5285,1195,"49582",76938,"15_to_19_min",7,4,1
"236","McAllen, TX Urbanized Area (2010)",796635,279102,5225,25915,42647,71160,55927,19563,34736,3943,3225,6718,5714,4329,"52390",139552,"15_to_19_min",7,4,2
"238","Macon, GA Urbanized Area (2010)",134911,50148,1726,6186,8987,12583,8006,1907,5382,656,977,1574,1122,1042,"52822",25074,"15_to_19_min",7,4,2
"261","Montgomery, AL Urbanized Area (2010)",258367,112302,2939,11904,18805,26581,19748,7902,13324,1944,1208,3311,2858,1778,"58600",56152,"15_to_19_min",7,4,2
"278","Norman, OK Urbanized Area (2010)",114795,55545,2326,10560,10362,10524,5438,2004,5685,953,1769,3508,1665,751,"63433",27773,"15_to_19_min",7,4,1
"314","Provo--Orem, UT Urbanized Area (2010)",543593,231617,8488,31784,45113,47195,30459,13465,22934,4791,6130,11099,7443,2716,"72559",115809,"15_to_19_min",7,4,1
"315","Pueblo, CO Urbanized Area (2010)",140031,55950,1981,8488,13978,11157,7151,1432,4335,897,1163,3261,1325,782,"72613",27976,"15_to_19_min",7,4,1
"320","Redding, CA Urbanized Area (2010)",119469,46639,1285,7369,14547,11077,5863,1362,2210,257,86,798,927,858,"73774",23320,"15_to_19_min",7,4,2
"321","Reno, NV--CA Urbanized Area (2010)",423811,202595,5215,18453,38037,42488,39574,14527,21437,3627,4317,7517,4731,2672,"74179",101298,"15_to_19_min",7,4,1
"360","Seaside--Monterey, CA Urbanized Area (2010)",113374,50200,1536,7735,9706,10146,9423,2112,4309,1252,366,1461,929,1225,"80362",25100,"15_to_19_min",7,4,2
"371","South Bend, IN--MI Urbanized Area (2010)",287902,123573,3348,10295,20332,31451,21210,9043,14229,3064,1697,4358,2005,2541,"83116",61787,"15_to_19_min",7,4,2
"374","Spokane, WA Urbanized Area (2010)",408943,177390,5403,18906,28799,35766,31534,14423,22444,4021,3459,6277,3403,2955,"83764",88696,"15_to_19_min",7,4,2
"391","Toledo, OH--MI Urbanized Area (2010)",500993,225432,6421,29662,34689,46036,44547,16456,22972,3774,3333,7584,6373,3585,"87868",112716,"15_to_19_min",7,4,2
"398","Tuscaloosa, AL Urbanized Area (2010)",153687,69377,1696,7149,13935,14551,14044,5587,5636,279,799,2866,2317,518,"89110",34689,"15_to_19_min",7,4,1
"400","Tyler, TX Urbanized Area (2010)",141003,56615,1560,7365,10483,9934,10685,2413,6963,1148,1277,2609,1698,480,"89326",28308,"15_to_19_min",7,4,1
"420","Wenatchee, WA Urbanized Area (2010)",73399,31389,1775,5253,6796,8384,3994,602,1550,62,368,1222,790,593,"93862",15695,"15_to_19_min",7,4,2
"427","Wilmington, NC Urbanized Area (2010)",244561,104162,2695,10258,19659,21495,21161,8615,10405,1180,1889,3060,2185,1560,"95833",52082,"15_to_19_min",7,4,1
"429","Winston-Salem, NC Urbanized Area (2010)",416807,180185,3483,20021,32825,37830,33136,12070,19760,3936,3765,6726,3323,3310,"96670",90093,"15_to_19_min",7,4,2
"63","Carbondale, IL Urbanized Area (2010)",68740,27922,1758,7207,5655,4138,2088,1123,3327,196,206,1043,940,241,"13591",13962,"10_to_14_min",6,4,1
"175","Idaho Falls, ID Urbanized Area (2010)",96288,42184,878,8648,11863,9068,3521,1985,1782,393,431,1827,1140,648,"40996",21092,"10_to_14_min",6,4,2
"215","Lawrence, KS Urbanized Area (2010)",96044,54537,3904,11311,12106,8612,2853,1983,3599,777,1904,5549,1619,320,"48232",27269,"10_to_14_min",6,4,1
"304","Porterville, CA Urbanized Area (2010)",70463,22737,913,3049,7688,2915,1681,199,1648,529,868,2403,335,509,"71074",11369,"10_to_14_min",6,4,2
"336","St. Joseph, MO--KS Urbanized Area (2010)",80531,35679,2160,6730,10173,9032,2308,586,1728,134,156,1191,1081,400,"77743",17840,"10_to_14_min",6,4,1
"342","San Angelo, TX Urbanized Area (2010)",102090,48152,2714,10936,15942,10580,3321,779,1030,106,80,607,893,1164,"78553",24076,"10_to_14_min",6,4,2
"7","Albany--Schenectady, NY Urbanized Area (2010)",597692,287147,9516,30125,43853,57199,48722,20955,41091,6325,7639,11828,6420,3474,"00970",143574,"20_to_24_min",8,3,1
"49","Bonita Springs, FL Urbanized Area (2010)",347888,130816,1866,13772,21760,25069,21232,9674,18907,4004,3879,6380,2406,1867,"08974",65408,"20_to_24_min",8,3,1
"57","Buffalo, NY Urbanized Area (2010)",931311,421298,12073,45909,67373,82597,82728,37269,47819,10253,7973,15712,5997,5595,"11350",210650,"20_to_24_min",8,3,1
"71","Chattanooga, TN--GA Urbanized Area (2010)",396541,169816,3165,17058,25752,28871,34065,16213,22712,4792,3061,8204,2814,3109,"15832",84908,"20_to_24_min",8,3,2
"85","Columbus, OH Urbanized Area (2010)",1493961,724651,16910,62907,95942,129346,140069,69376,110978,19124,20106,34892,15378,9623,"19234",362326,"20_to_24_min",8,3,1
"153","Greenville, SC Urbanized Area (2010)",424337,189133,5379,18230,29774,33236,30657,15761,26879,6727,5626,10795,3218,2851,"35461",94567,"20_to_24_min",8,3,2
"170","Homosassa Springs--Beverly Hills--Citrus Springs, FL Urbanized Area (2010)",83983,25438,540,1834,4740,4529,3939,2018,4296,475,617,1686,147,617,"39758",12720,"20_to_24_min",8,3,2
"180","Jackson, MS Urbanized Area (2010)",356131,163831,3277,10333,23991,30237,37025,15339,25558,4364,3261,5379,3234,1833,"42211",81916,"20_to_24_min",8,3,1
"194","Kansas City, MO--KS Urbanized Area (2010)",1591885,774235,17634,71423,112445,142627,148947,61226,114064,21256,25484,39234,14250,5645,"43912",387118,"20_to_24_min",8,3,1
"202","Lady Lake--The Villages, FL Urbanized Area (2010)",117276,23871,531,3191,3482,4555,4620,892,3216,568,377,1764,311,364,"45937",11936,"20_to_24_min",8,3,2
"224","Little Rock, AR Urbanized Area (2010)",453670,205675,5838,20626,35783,39315,42351,12896,26640,5064,4252,7710,2969,2231,"50392",102838,"20_to_24_min",8,3,1
"233","Louisville/Jefferson County, KY--IN Urbanized Area (2010)",1000136,466039,7264,39507,65990,86338,89172,40369,70884,14205,13679,23549,10155,4927,"51755",233020,"20_to_24_min",8,3,1
"249","Memphis, TN--MS--AR Urbanized Area (2010)",1074600,469196,6763,39163,60610,81674,94270,39101,83376,12218,13998,24767,7217,6039,"56116",234598,"20_to_24_min",8,3,1
"284","Oklahoma City, OK Urbanized Area (2010)",932416,429813,9833,43787,64079,81469,89737,35559,59585,9097,9468,15139,6468,5592,"65080",214907,"20_to_24_min",8,3,1
"15","Anchorage, AK Urbanized Area (2010)",258013,133606,4923,20044,30780,34530,25866,4631,6478,598,572,1643,2021,1520,"02305",66804,"15_to_19_min",7,3,1
"17","Anderson, SC Urbanized Area (2010)",81267,34889,1884,2985,6082,8584,4820,1361,3704,775,1046,2558,260,830,"02413",17445,"15_to_19_min",7,3,2
"23","Asheville, NC Urbanized Area (2010)",292147,128325,3059,14611,28679,28968,20223,7988,12102,2329,2391,4717,1638,1620,"03358",64163,"15_to_19_min",7,3,1
"27","Auburn, AL Urbanized Area (2010)",84072,37399,591,5734,9454,7586,3936,1498,3776,514,345,2823,959,183,"04033",18700,"15_to_19_min",7,3,0
"47","Bloomington--Normal, IL Urbanized Area (2010)",134878,69414,1810,12184,19534,16668,8447,1359,1999,961,1393,2937,1388,734,"08407",34708,"15_to_19_min",7,3,1
"48","Boise City, ID Urbanized Area (2010)",390045,181694,4046,14677,33444,41076,40036,13002,21006,3483,2022,3899,2444,2559,"08785",90848,"15_to_19_min",7,3,1
"56","Brownsville, TX Urbanized Area (2010)",230844,79252,2072,7683,9865,20277,16392,5307,11745,239,601,3054,1110,907,"10972",39626,"15_to_19_min",7,3,1
"64","Casper, WY Urbanized Area (2010)",70665,35205,2122,5936,8716,9329,5098,1118,773,142,650,277,528,516,"14482",17603,"15_to_19_min",7,3,1
"65","Cedar Rapids, IA Urbanized Area (2010)",186623,95584,3115,11987,22960,23031,13979,5568,6959,1469,1825,1869,1757,1065,"14752",47792,"15_to_19_min",7,3,1
"67","Charleston, WV Urbanized Area (2010)",150524,66299,2086,7812,12419,15280,10432,5591,6098,1143,1825,1804,1095,714,"15481",33150,"15_to_19_min",7,3,1
"70","Charlottesville, VA Urbanized Area (2010)",100888,45378,1125,4486,11334,11207,7130,1120,3658,1177,730,1897,1014,500,"15724",22690,"15_to_19_min",7,3,1
"79","Coeur d'Alene, ID Urbanized Area (2010)",112254,47091,2655,7467,9232,9361,6354,2142,4828,655,867,2236,773,521,"18451",23546,"15_to_19_min",7,3,1
"80","College Station--Bryan, TX Urbanized Area (2010)",195896,88530,2734,12967,24044,21238,14766,3529,5099,697,309,874,1132,1141,"18748",44266,"15_to_19_min",7,3,1
"90","Corpus Christi, TX Urbanized Area (2010)",339410,154093,3240,15812,32569,42094,28273,7020,13584,1353,1196,4390,2906,1656,"20287",77047,"15_to_19_min",7,3,1
"95","Davenport, IA--IL Urbanized Area (2010)",284781,127942,4514,16973,26434,28151,21827,9821,11021,1820,1629,2218,2045,1489,"22366",63972,"15_to_19_min",7,3,1
"99","Decatur, IL Urbanized Area (2010)",89587,36130,1780,7170,8447,8583,5336,750,1208,24,253,1416,807,356,"22717",18066,"15_to_19_min",7,3,1
"110","Duluth, MN--WI Urbanized Area (2010)",115390,56963,2143,11570,13119,12478,8254,2698,3803,284,638,531,797,648,"24850",28482,"15_to_19_min",7,3,1
"114","Elizabethtown--Radcliff, KY Urbanized Area (2010)",73846,31609,1003,5839,5386,8808,3486,944,2406,641,555,1678,496,367,"26750",15805,"15_to_19_min",7,3,1
"119","Erie, PA Urbanized Area (2010)",190927,83291,2670,11939,17432,20110,14023,4772,6058,855,1076,1974,1393,989,"27766",41646,"15_to_19_min",7,3,1
"147","Grand Rapids, MI Urbanized Area (2010)",611815,294430,9036,31834,51865,64286,58018,21480,30330,5288,5891,7636,6254,2512,"34300",147216,"15_to_19_min",7,3,1
"150","Green Bay, WI Urbanized Area (2010)",215416,107182,3773,15396,23659,24288,18387,4501,5349,1487,1603,5051,2318,1370,"34813",53592,"15_to_19_min",7,3,1
"160","Harlingen, TX Urbanized Area (2010)",139643,50261,1980,6351,10683,10872,4612,3556,7221,250,1417,1785,574,960,"36892",25131,"15_to_19_min",7,3,2
"162","Harrisonburg, VA Urbanized Area (2010)",72688,33652,1282,6396,7324,8960,4298,1220,1967,434,669,18,793,291,"37162",16826,"15_to_19_min",7,3,1
"169","Holland, MI Urbanized Area (2010)",102876,51651,2165,10481,11957,12041,4855,2091,2936,912,978,1465,785,985,"39430",25826,"15_to_19_min",7,3,2
"183","Jacksonville, NC Urbanized Area (2010)",106938,52343,3910,9790,10488,9159,8116,2760,4703,912,192,841,948,524,"42400",26172,"15_to_19_min",7,3,1
"185","Johnson City, TN Urbanized Area (2010)",126628,56338,2297,8454,11663,9749,7348,3738,6968,1068,920,2693,731,709,"43210",28170,"15_to_19_min",7,3,1
"192","Kalamazoo, MI Urbanized Area (2010)",222250,106209,3863,13875,22156,23736,16084,6463,9325,1293,1387,4632,2488,907,"43723",53105,"15_to_19_min",7,3,1
"201","La Crosse, WI--MN Urbanized Area (2010)",104291,51454,1989,10116,11699,10167,7303,2726,3986,251,803,1122,784,508,"45910",25728,"15_to_19_min",7,3,1
"203","Lafayette, IN Urbanized Area (2010)",160754,74094,1655,9884,19620,19512,8642,3179,5925,470,846,2066,1387,908,"46018",37048,"15_to_19_min",7,3,1
"212","Laredo, TX Urbanized Area (2010)",254988,92561,2089,8387,13212,25494,16909,4513,12548,732,1612,4053,1880,1132,"47854",46281,"15_to_19_min",7,3,1
"222","Lima, OH Urbanized Area (2010)",72286,30452,2017,5547,6224,5980,4064,1295,2273,268,718,1165,576,325,"49852",15226,"15_to_19_min",7,3,1
"223","Lincoln, NE Urbanized Area (2010)",278085,147207,3239,22228,29866,32571,24972,9591,12443,1349,1765,4559,3025,1599,"49933",73604,"15_to_19_min",7,3,1
"234","Lubbock, TX Urbanized Area (2010)",256813,120394,2176,19374,32525,36129,16270,1751,5333,631,863,2055,1508,1779,"51877",60198,"15_to_19_min",7,3,1
"235","Lynchburg, VA Urbanized Area (2010)",127601,56904,1336,8769,11919,15608,9371,2881,3162,671,148,1060,1639,340,"52201",28452,"15_to_19_min",7,3,1
"240","Madison, WI Urbanized Area (2010)",441435,240077,6696,29477,43188,48490,43848,18200,25334,5134,5326,7641,4637,2106,"53200",120039,"15_to_19_min",7,3,1
"253","Midland, TX Urbanized Area (2010)",139531,66938,3192,11627,18122,15064,8499,1305,4575,693,652,1225,793,1191,"57007",33470,"15_to_19_min",7,3,2
"262","Morgantown, WV Urbanized Area (2010)",75340,34030,933,4302,10492,8007,3805,935,2162,456,654,1163,446,675,"59275",17016,"15_to_19_min",7,3,2
"267","Muskegon, MI Urbanized Area (2010)",164004,68367,2174,9647,13494,14361,10117,3339,4680,1187,2703,4345,1023,1297,"60841",34184,"15_to_19_min",7,3,2
"288","Oshkosh, WI Urbanized Area (2010)",74602,36575,1750,8105,6631,6279,5133,2395,2742,831,682,777,555,695,"66160",18288,"15_to_19_min",7,3,2
"293","Panama City, FL Urbanized Area (2010)",161466,72653,1072,9185,11875,15644,11968,3265,11505,1130,1604,2927,1470,1008,"67294",36327,"15_to_19_min",7,3,1
"294","Parkersburg, WV--OH Urbanized Area (2010)",67426,25469,1851,3352,6222,4088,4354,1048,2357,327,230,784,646,210,"67672",12735,"15_to_19_min",7,3,1
"296","Peoria, IL Urbanized Area (2010)",266814,117361,2402,16653,26624,25496,20581,7055,9249,1749,1058,3010,1837,1647,"68509",58681,"15_to_19_min",7,3,1
"318","Rapid City, SD Urbanized Area (2010)",89833,40737,727,8288,9184,11316,6557,1095,1857,117,340,204,677,375,"73396",20369,"15_to_19_min",7,3,1
"326","Rochester, NY Urbanized Area (2010)",726102,334085,8949,34981,60429,70031,64643,29680,32677,6861,6039,10249,5436,4110,"75664",167043,"15_to_19_min",7,3,1
"332","Saginaw, MI Urbanized Area (2010)",121817,49862,1066,8106,10185,12130,6950,2908,4368,647,1045,786,573,1098,"77149",24932,"15_to_19_min",7,3,2
"366","Shreveport, LA Urbanized Area (2010)",302685,127733,3430,15358,25777,34572,21402,7418,11078,1105,1211,2604,1973,1805,"81739",63867,"15_to_19_min",7,3,1
"368","Sioux City, IA--NE--SD Urbanized Area (2010)",105076,50692,2486,8954,11629,11515,7342,1245,4042,459,431,1133,623,833,"82225",25346,"15_to_19_min",7,3,2
"373","Spartanburg, SC Urbanized Area (2010)",196426,86847,1714,10645,14814,19138,14106,6496,7976,1970,2386,4781,1533,1288,"83548",43424,"15_to_19_min",7,3,1
"375","Springfield, IL Urbanized Area (2010)",161193,70965,2406,8676,15220,19956,11933,2754,4488,180,567,2330,740,1715,"83899",35483,"15_to_19_min",7,3,2
"377","Springfield, MO Urbanized Area (2010)",284181,126684,3345,12859,23971,32303,24729,7403,12739,1664,625,3587,1547,1912,"83953",63342,"15_to_19_min",7,3,2
"380","State College, PA Urbanized Area (2010)",95549,39292,1124,8873,8339,11013,5548,982,1361,150,41,852,275,734,"84493",19646,"15_to_19_min",7,3,2
"383","Syracuse, NY Urbanized Area (2010)",411895,184127,6308,19648,36001,43120,36576,14331,13367,2286,2070,4494,3473,2453,"86302",92064,"15_to_19_min",7,3,1
"392","Topeka, KS Urbanized Area (2010)",148718,69002,1172,9908,17476,18340,11427,2591,3339,921,667,859,1983,319,"88084",34502,"15_to_19_min",7,3,0
"396","Tulsa, OK Urbanized Area (2010)",698848,317067,7505,34536,53764,70794,63393,23909,38187,4179,3881,7653,4734,4532,"88948",158534,"15_to_19_min",7,3,1
"402","Utica, NY Urbanized Area (2010)",112633,46317,2598,8673,11876,9099,5711,2799,1848,238,249,1879,939,408,"89785",23159,"15_to_19_min",7,3,1
"404","Valdosta, GA Urbanized Area (2010)",80062,33541,798,4784,5461,12477,4344,1265,2006,567,33,675,601,530,"89974",16771,"15_to_19_min",7,3,2
"411","Waco, TX Urbanized Area (2010)",183087,79595,1896,12315,18180,21799,11637,3541,4967,711,565,1401,985,1598,"91027",39798,"15_to_19_min",7,3,2
"424","Wichita, KS Urbanized Area (2010)",477761,225110,4513,26604,42426,52828,49602,14583,19639,1791,2099,4601,2770,3654,"95077",112556,"15_to_19_min",7,3,2
"14","Ames, IA Urbanized Area (2010)",67745,34568,1375,7098,9793,6548,3229,1923,714,362,1146,1448,789,143,"02062",17284,"10_to_14_min",6,3,0
"74","Chico, CA Urbanized Area (2010)",105429,45603,3004,8944,12251,8826,4351,834,4330,456,381,809,808,609,"16318",22802,"10_to_14_min",6,3,1
"109","Dubuque, IA--IL Urbanized Area (2010)",69527,36161,1650,7075,11308,8978,3799,726,739,142,231,493,200,820,"24823",18081,"10_to_14_min",6,3,2
"145","Grand Forks, ND--MN Urbanized Area (2010)",67694,35973,2346,8582,12703,6723,1833,501,846,155,405,817,742,320,"34219",17987,"10_to_14_min",6,3,1
"187","Jonesboro, AR Urbanized Area (2010)",70040,30000,1280,5179,8647,8241,2931,989,1049,188,173,356,768,199,"43345",15000,"10_to_14_min",6,3,1
"227","Logan, UT Urbanized Area (2010)",105847,49289,2228,13447,12743,9419,4155,1391,3125,384,258,669,709,761,"50959",24645,"10_to_14_min",6,3,2
"350","Santa Barbara, CA Urbanized Area (2010)",197761,90427,3178,19425,25536,20760,9560,1811,4331,563,1267,1416,1589,991,"79282",45214,"10_to_14_min",6,3,1
"388","Texarkana--Texarkana, TX--AR Urbanized Area (2010)",79077,28781,1137,5302,10986,5118,2128,675,1662,106,398,286,621,362,"87193",14391,"10_to_14_min",6,3,1
"413","Warner Robins, GA Urbanized Area (2010)",142027,65997,1206,6342,12136,12529,12120,4946,9685,1709,1153,2791,1115,265,"91783",32999,"20_to_24_min",8,2,0
"6","Albany, GA Urbanized Area (2010)",93386,35074,1177,3726,9596,8148,6254,989,2512,684,381,815,511,281,"00901",17538,"15_to_19_min",7,2,1
"12","Altoona, PA Urbanized Area (2010)",72855,30496,1523,6080,6806,6476,3526,1491,1196,404,295,1964,522,213,"01792",15248,"15_to_19_min",7,2,1
"21","Appleton, WI Urbanized Area (2010)",223760,113422,3996,16246,23123,28072,19672,6168,8652,1488,1418,2132,1164,1291,"02764",56712,"15_to_19_min",7,2,1
"37","Beaumont, TX Urbanized Area (2010)",148557,63577,1169,6915,11284,13344,16053,2350,6968,1770,649,1829,741,505,"06058",31789,"15_to_19_min",7,2,1
"41","Billings, MT Urbanized Area (2010)",117906,55773,1413,7757,15324,15056,9420,2966,1612,118,296,562,579,670,"07705",27887,"15_to_19_min",7,2,1
"42","Binghamton, NY--PA Urbanized Area (2010)",157909,65254,2416,9893,15476,17958,9541,2219,3226,749,780,1462,990,544,"07732",32628,"15_to_19_min",7,2,1
"66","Champaign, IL Urbanized Area (2010)",150682,74675,3121,9486,20843,18900,11084,3194,3425,601,447,1773,1046,755,"15211",37338,"15_to_19_min",7,2,1
"78","Cleveland, TN Urbanized Area (2010)",70220,30157,892,5937,5727,6995,2284,893,3031,810,1241,1716,589,42,"17722",15079,"15_to_19_min",7,2,0
"89","Conway, AR Urbanized Area (2010)",70869,31437,1324,6022,7050,5243,2743,904,1186,1123,1801,3471,551,19,"19801",15719,"15_to_19_min",7,2,0
"92","Dalton, GA Urbanized Area (2010)",85962,36991,1402,3644,5988,8643,7532,1432,4928,1062,558,1071,267,464,"22069",18496,"15_to_19_min",7,2,1
"106","Dothan, AL Urbanized Area (2010)",71909,28716,729,4378,6039,6436,4278,1246,2797,456,513,1162,415,267,"24472",14358,"15_to_19_min",7,2,1
"115","Elkhart, IN--MI Urbanized Area (2010)",147018,65308,1328,7722,13392,15027,11458,3908,7689,1207,905,1046,963,663,"26794",32654,"15_to_19_min",7,2,1
"127","Fayetteville--Springdale--Rogers, AR--MO Urbanized Area (2010)",347717,162587,5198,21308,35618,33594,26498,12098,14939,2282,3755,4066,2103,1128,"29494",81294,"15_to_19_min",7,2,1
"134","Fort Smith, AR--OK Urbanized Area (2010)",125332,52174,2776,6648,15336,11587,7416,2351,2421,466,28,1980,512,653,"30925",26088,"15_to_19_min",7,2,1
"151","Greensboro, NC Urbanized Area (2010)",336634,149951,1850,14533,24291,36471,30141,11516,13586,5188,2782,6061,1794,1738,"35164",74976,"15_to_19_min",7,2,1
"178","Iowa City, IA Urbanized Area (2010)",117870,62034,1601,8886,14505,14140,10057,3631,5042,1073,707,1106,834,452,"41590",31018,"15_to_19_min",7,2,1
"181","Jackson, TN Urbanized Area (2010)",71000,26770,925,3615,6434,9450,3188,444,999,112,525,641,62,375,"42265",13386,"15_to_19_min",7,2,1
"188","Joplin, MO Urbanized Area (2010)",83400,40250,1415,7346,8857,11879,4997,885,3096,298,51,572,574,280,"43399",20126,"15_to_19_min",7,2,1
"198","Kingsport, TN--VA Urbanized Area (2010)",109600,44010,1367,6141,7764,9059,7258,1944,5100,1600,869,1996,650,262,"45235",22006,"15_to_19_min",7,2,1
"213","Las Cruces, NM Urbanized Area (2010)",132107,54471,1686,7309,14367,10380,11253,2051,2989,1047,659,1885,474,371,"47935",27236,"15_to_19_min",7,2,1
"257","Missoula, MT Urbanized Area (2010)",85683,47720,1228,8005,13096,12853,5642,1278,3623,128,339,353,673,502,"57736",23860,"15_to_19_min",7,2,1
"268","Myrtle Beach--Socastee, SC--NC Urbanized Area (2010)",260815,106813,3677,12346,22066,21490,17681,9264,10352,2308,2443,2587,1304,1295,"60895",53407,"15_to_19_min",7,2,1
"286","Omaha, NE--IA Urbanized Area (2010)",774663,382170,10178,43000,67652,74862,78682,35547,43304,4723,5395,9486,5174,4167,"65269",191086,"15_to_19_min",7,2,1
"325","Rochester, MN Urbanized Area (2010)",113819,56799,649,10307,17306,13570,7181,1378,3102,614,580,841,922,349,"75637",28400,"15_to_19_min",7,2,1
"369","Sioux Falls, SD Urbanized Area (2010)",171906,91389,3047,12551,21306,24960,16429,4112,4665,130,1094,1201,957,937,"82252",45695,"15_to_19_min",7,2,1
"384","Tallahassee, FL Urbanized Area (2010)",253709,121233,2660,11979,18772,31689,23124,9726,13997,2445,1619,3230,1267,725,"86464",60617,"15_to_19_min",7,2,1
"418","Wausau, WI Urbanized Area (2010)",75665,36227,1373,6022,8842,7702,6152,981,2067,343,705,1224,280,536,"93025",18114,"15_to_19_min",7,2,1
"437","Yuma, AZ--CA Urbanized Area (2010)",135437,49374,1689,7727,12257,10448,7416,3791,3522,438,645,625,549,267,"98020",24688,"15_to_19_min",7,2,1
"40","Bend, OR Urbanized Area (2010)",100017,45394,1447,10140,14427,8968,4828,1264,2352,0,75,862,361,670,"06868",22698,"10_to_14_min",6,2,1
"72","Cheyenne, WY Urbanized Area (2010)",73607,34906,2114,7741,10180,9427,2900,728,265,0,108,849,219,375,"16237",17454,"10_to_14_min",6,2,1
"82","Columbia, MO Urbanized Area (2010)",131692,64464,1765,10858,21348,15052,6185,1217,3183,526,1107,1985,874,364,"18937",32232,"10_to_14_min",6,2,1
"216","Lawton, OK Urbanized Area (2010)",93543,38143,1919,8344,10839,10009,3314,576,1543,78,469,472,141,439,"48394",19072,"10_to_14_min",6,2,1
"335","St. George, UT Urbanized Area (2010)",115269,44635,2323,8516,13862,8310,5342,1090,2497,481,502,835,621,256,"77446",22318,"10_to_14_min",6,2,1
"416","Waterloo, IA Urbanized Area (2010)",115990,58816,3636,11405,16061,13422,9212,1174,1601,212,171,622,320,980,"92593",29408,"10_to_14_min",6,2,2
"425","Wichita Falls, TX Urbanized Area (2010)",98470,45726,1420,11433,14552,10999,3864,278,1086,121,79,932,241,721,"95104",22864,"10_to_14_min",6,2,2
"174","Huntsville, AL Urbanized Area (2010)",306102,143936,2796,12514,23635,32009,27250,13137,20879,3520,1890,4238,430,1638,"40780",71968,"20_to_24_min",8,1,1
"104","Des Moines, IA Urbanized Area (2010)",489754,247697,8340,27489,46082,52712,49884,21617,24992,4908,2889,5252,1818,1714,"23743",123849,"15_to_19_min",7,1,1
"125","Fargo, ND--MN Urbanized Area (2010)",199778,109059,4810,15352,29303,31187,16569,4122,4158,100,272,1689,856,641,"29089",54530,"15_to_19_min",7,1,1
"128","Flagstaff, AZ Urbanized Area (2010)",78102,35643,1341,7943,8432,10289,3747,283,1429,176,548,1050,201,204,"29818",17822,"15_to_19_min",7,1,1
"248","Medford, OR Urbanized Area (2010)",164157,66620,2828,15000,12560,17001,7801,2855,5271,583,788,965,648,320,"55981",33310,"15_to_19_min",7,1,0
"260","Monroe, LA Urbanized Area (2010)",115781,40254,1239,5377,11456,8154,6443,975,4533,540,168,921,348,100,"58330",20128,"15_to_19_min",7,1,0
"432","Yakima, WA Urbanized Area (2010)",137363,56368,1523,6262,11488,15660,9794,3039,6313,390,94,1099,203,503,"97507",28184,"15_to_19_min",7,1,1
